index,reg1,val1,reg2,val2,reg3,val3
0,8,0C,9,0B,10,09
1,8,0C,9,0B,10,09
2,8,0D,9,08,10,08
3,8,0B,9,0B,10,0B
4,8,0D,9,09,10,05
5,8,0C,9,0B,10,08
6,8,0D,9,09,10,02
7,8,0D,9,08,10,06
8,8,0C,9,0B,10,07
9,8,0D,9,07,10,07
10,8,0C,9,0B,10,06
11,8,0C,9,0A,10,09
12,8,0B,9,0B,10,0A
13,8,0C,9,0B,10,02
14,8,0C,9,0B,10,00
15,8,0C,9,0A,10,08
16,8,0D,9,06,10,04
17,8,0D,9,05,10,05
18,8,0D,9,05,10,04
19,8,0C,9,09,10,09
20,8,0D,9,04,10,03
21,8,0B,9,0B,10,09
22,8,0C,9,0A,10,05
23,8,0B,9,0A,10,0A
24,8,0C,9,09,10,08
25,8,0B,9,0B,10,08
26,8,0C,9,0A,10,00
27,8,0C,9,0A,10,00
28,8,0C,9,09,10,07
29,8,0B,9,0B,10,07
30,8,0C,9,09,10,06
31,8,0B,9,0B,10,06
32,8,0B,9,0A,10,09
33,8,0B,9,0B,10,05
34,8,0A,9,0A,10,0A
35,8,0B,9,0B,10,02
36,8,0B,9,0A,10,08
37,8,0C,9,07,10,07
38,8,0C,9,08,10,04
39,8,0C,9,07,10,06
40,8,0B,9,09,10,09
41,8,0C,9,06,10,06
42,8,0A,9,0A,10,09
43,8,0C,9,07,10,03
44,8,0B,9,0A,10,05
45,8,0B,9,09,10,08
46,8,0B,9,0A,10,03
47,8,0A,9,0A,10,08
48,8,0B,9,0A,10,00
49,8,0B,9,09,10,07
50,8,0B,9,08,10,08
51,8,0A,9,0A,10,07
52,8,0A,9,09,10,09
53,8,0C,9,01,10,01
54,8,0A,9,0A,10,06
55,8,0B,9,08,10,07
56,8,0A,9,0A,10,05
57,8,0A,9,09,10,08
58,8,0A,9,0A,10,02
59,8,0A,9,0A,10,01
60,8,0A,9,0A,10,00
61,8,09,9,09,10,09
62,8,0A,9,08,10,08
63,8,0B,9,08,10,01
64,8,0A,9,09,10,06
65,8,0B,9,07,10,04
66,8,0A,9,09,10,05
67,8,09,9,09,10,08
68,8,0A,9,09,10,03
69,8,0A,9,08,10,06
70,8,0A,9,09,10,00
71,8,09,9,09,10,07
72,8,09,9,08,10,08
73,8,0A,9,08,10,04
74,8,09,9,09,10,06
75,8,0A,9,08,10,01
76,8,09,9,09,10,05
77,8,09,9,08,10,07
78,8,08,9,08,10,08
79,8,09,9,09,10,02
80,8,09,9,08,10,06
81,8,09,9,09,10,00
82,8,09,9,07,10,07
83,8,08,9,08,10,07
84,8,09,9,07,10,06
85,8,09,9,08,10,02
86,8,08,9,08,10,06
87,8,09,9,06,10,06
88,8,08,9,07,10,07
89,8,08,9,08,10,04
90,8,08,9,07,10,06
91,8,08,9,08,10,02
92,8,07,9,07,10,07
93,8,08,9,06,10,06
94,8,08,9,07,10,04
95,8,07,9,07,10,06
96,8,08,9,06,10,05
97,8,08,9,06,10,04
98,8,07,9,06,10,06
99,8,07,9,07,10,04
100,8,08,9,05,10,04
101,8,06,9,06,10,06
102,8,07,9,06,10,04
103,8,07,9,05,10,05
104,8,06,9,06,10,05
105,8,06,9,06,10,04
106,8,06,9,05,10,05
107,8,06,9,06,10,02
108,8,06,9,05,10,04
109,8,05,9,05,10,05
110,8,06,9,05,10,02
111,8,05,9,05,10,04
112,8,05,9,04,10,04
113,8,05,9,05,10,02
114,8,04,9,04,10,04
115,8,04,9,04,10,03
116,8,04,9,04,10,02
117,8,04,9,03,10,03
118,8,03,9,03,10,03
119,8,03,9,03,10,02
120,8,03,9,02,10,02
121,8,02,9,02,10,02
122,8,02,9,02,10,01
123,8,01,9,01,10,01
124,8,02,9,01,10,00
125,8,01,9,01,10,00
126,8,01,9,00,10,00
127,8,00,9,00,10,00
128,8,0E,9,0D,10,0C
129,8,0F,9,03,10,00
130,8,0F,9,03,10,00
131,8,0F,9,03,10,00
132,8,0F,9,03,10,00
133,8,0F,9,03,10,00
134,8,0F,9,03,10,00
135,8,0E,9,0D,10,0B
136,8,0E,9,0D,10,0B
137,8,0E,9,0D,10,0B
